Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B10, B11, B13, B14, B15, B16, B17, B18, B19, B2, B20, B21, B22, B23, B24, B3, B4, B5, B6, B7, B8, B9",VTC-6-single,23,VTC6+T-single,
"B12, B25",VTC-6,2,VTC6+T,
"C1, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C5, C6, C7, C8",0603,35,0.1uF,CL10B104KC8NNNC
"C10, C9",0805,2,10nF,C0805C103K5RACTU
"C11, C12, C40, C41, C42, C43",0603,6,1uF,CL10B105KP8NNNC
"D1, D2",0603,2,LED,846-1198-1-ND
J1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Conn_01x02_Horzontal,S2B-XH-A-1
"J2, J3",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Vertical,B2B-XH-A
"L1, L2",ACT45B-101-2P-TL003_TDK_new,2,Choke_ACT45B-101-2P-TL003,ACT45B-101-2P-TL003
"Q2, Q3",DXT5551P5-13_DIO-M,2,DXT5551P5-13_DIO,DXT5551P5-13
"R1, R10, R11, R2, R5, R6",0603,6,1k,RC0603FR-071KL
"R12, R7",0603,2,1M,ERJ-3EKF1004V
"R13, R54, R96, R97, R98",0805,5,100,RMCF0805FT100R
"R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R52, R53, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66",0805,27,10,ERJ-P06J100V
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79",2512,25,18,RMCF2512FT18R0
"R3, R4, R8, R9",0603,4,20k,ERJ-3EKF2002V
"R39, R80",0603,2,100,RC0603FR-07100RL
"R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93",0603,25,680,RC0603JR-07680RL
"R94, R95",0603,2,330,ERA-3AEB331V
T1,SOIC4_CBM4D19_SUM,1,ESMIT-4180_C,ESMIT-4180/C
"U1, U2, U3, U4, U5, U6, U7, U8",TSSOP-16_4.4x5mm_P0.65mm,8,ADG728,ADG728BRUZ-REEL7
"U10, U9",QFP-64_11x11_Pitch0.5mm,2,LTC6812-1,LTC6812ILWE-1#3ZZTRPBF
