"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","200","445-9117-1-ND","C1608X5R1A156M080AC","CAP CER 15UF 10V X5R 0603","","200","0","0.16380","32.76"
"2","50","13-CC0805KRX7RZBB562CT-ND","CC0805KRX7RZBB562","CAP 0805 630V 5.6 NF X7R","","50","0","0.07040","3.52"
"3","50","1276-1935-1-ND","CL10B104KB8NNWC","CAP CER 0.1UF 50V X7R 0603","","50","0","0.01020","0.51"
"4","50","1276-1935-1-ND","CL10B104KB8NNWC","CAP CER 0.1UF 50V X7R 0603","","50","0","0.01020","0.51"
"5","200","P10ADCT-ND","ERJ-P06J100V","RES SMD 10 OHM 5% 1/2W 0805","","200","0","0.03510","7.02"
"6","200","RHM680DCT-ND","ESR03EZPJ681","RES SMD 680 OHM 5% 1/4W 0603","","200","0","0.03700","7.40"
"7","150","A115990CT-ND","352118RFT","RES SMD 18 OHM 1% 2W 2512","","150","0","0.33760","50.64"
"8","50","311-1.00KHRCT-ND","RC0603FR-071KL","RES 1K OHM 1% 1/10W 0603","","50","0","0.01120","0.56"
"9","50","P20KDBCT-ND","ERA-3AEB203V","RES SMD 20K OHM 0.1% 1/10W 0603","","50","0","0.07420","3.71"
"10","25","RMCF0603FT100RCT-ND","RMCF0603FT100R","RES 100 OHM 1% 1/10W 0603","25","25","0","0.01500","0.38"
"11","10","P1.00MHCT-ND","ERJ-3EKF1004V","RES SMD 1M OHM 1% 1/10W 0603","","10","0","0.03000","0.30"
"12","10","311-100CRCT-ND","RC0805FR-07100RL","RES 100 OHM 1% 1/8W 0805","","10","0","0.02500","0.25"
"13","10","311-21.0HRCT-ND","RC0603FR-0721RL","RES 21 OHM 1% 1/10W 0603","","10","0","0.01900","0.19"
"14","150","240-2371-1-ND","MI0603J601R-10","FERRITE BEAD 600 OHM 0603 1LN","","150","0","0.09470","14.21"
"15","20","160-1827-1-ND","LTST-C193TBKT-5A","LED BLUE CLEAR CHIP SMD","","20","0","0.23600","4.72"
"16","10","455-B2B-XH-A-ND","B2B-XH-A","CONN HEADER VERT 2POS 2.5MM","","10","0","0.12200","1.22"
"17","250","455-2266-ND","XHP-2","CONN RCPT HSG 2POS 2.50MM","","250","0","0.05088","12.72"
"18","500","455-4220-1-ND","SXH-001T-P0.6N","CONN SOCKET 22-26AWG CRIMP TIN","","500","0","0.03718","18.59"
"19","25","DXT5551P5-13CT-ND","DXT5551P5-13","TRANS NPN 160V 0.6A POWERDI5","","25","0","0.41600","10.40"
"20","10","455-S2B-XH-A-ND","S2B-XH-A","CONN HEADER R/A 2POS 2.5MM","","10","0","0.15900","1.59"
"21","10","455-S2B-XH-A-ND","S2B-XH-A","CONN HEADER R/A 2POS 2.5MM","","10","0","0.15900","1.59"
