Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.01u,
"C3, C4",0603,2,10u,
D1,LPA-C011301S-x LED 0805 LIGHT PIPE SINGLE VERT SMD,1,LED,
D3,D_MiniMELF,1,1N4148,
D4,SOT-23,1,MMBZxx,
"IC1, IC2",SOP50P490X110-16N,2,LTC6820HMS#3ZZPBF,
"J1, J2, J3",Hirose_DF63M-1P-3.96DSA_1x01_P3.96mm_Vertical,3,Conn_01x01,
J4,TE_1-776266-1_14pin_Horizontal,1,Conn_01x14,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J6,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,JST PH,
"J7, J8",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,Conn_01x02,
"JP1, JP2",SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm_NumberLabels,2,Fast / Slow,
K2,RELAY_G5NB-1A DC5_OMR,1,G5NB-1A4-E DC12,
K3,Relay_SPDT_Omron_G5V-1,1,G5V-1,
K4,SHV12,1,374-1408-5-ND,
K5,S1-12,1,S1-12-BDM,
Q2,SOT-23,1,MMBT2222A,
"R10, R7, R8, R9",0603,4,1k,
"R11, R12",0603,2,60,
"R13, R4",R_Axial_Power_L48.0mm_W12.5mm_P55.88mm,2,2.5k,
R14,0603,1,10k,
R15,0603,1,2k,
R2,R_Axial_DIN0516_L15.5mm_D5.0mm_P7.62mm_Vertical,1,1.5k,
R5,0603,1,15k,
"T1, T2",SOIC4_CBM4D19_SUM,2,ESMIT-4180_C,
U2,SOT-223-3_TabPin2,1,LT1963AxST-3.3,
