Designator,Mid X,Mid Y,Rotation,Layer
C1,143.271498,-124.967499,90.0,bottom
C2,143.059498,-116.967499,90.0,bottom
C3,150.811997,-107.784999,270.0,bottom
C4,144.711997,-104.284999,180.0,bottom
D1,185.371997,-71.824999,270.0,top
D3,145.752499,-102.207499,90.0,top
D4,163.761997,-104.734999,0.0,bottom
IC1,145.976498,-125.202399,0.0,top
IC2,146.276498,-115.667499,0.0,top
J1,194.411997,-64.034999,270.0,top
J2,163.511997,-74.084999,270.0,top
J3,184.665394,-89.657516,0.0,top
J4,135.111997,-113.134999,270.0,top
J5,168.134499,-93.2675,90.0,top
J6,167.6,-105.85,90.0,top
J7,168.352498,-124.167499,270.0,top
J8,168.352498,-113.367499,270.0,top
K2,162.159498,-89.917499,90.0,top
K3,149.592498,-104.507501,90.0,top
K4,184.51879,-107.647516,270.0,top
K5,142.968797,-74.084999,180.0,top
Q2,154.361997,-113.534999,90.0,bottom
R10,150.809498,-118.829999,270.0,bottom
R11,153.645498,-125.352399,270.0,top
R12,153.452498,-114.617499,270.0,top
R13,183.901997,-63.884999,180.0,top
R14,155.223496,-117.503099,270.0,bottom
R15,155.223496,-120.6531,90.0,bottom
R2,172.601997,-74.234999,0.0,top
R4,194.711997,-73.244999,270.0,top
R5,163.761997,-101.784999,180.0,bottom
R7,149.561498,-123.004999,270.0,bottom
R8,149.548998,-126.504999,270.0,bottom
R9,149.109498,-118.817499,270.0,bottom
T1,160.295498,-125.187299,0.0,top
T2,160.202498,-114.452399,0.0,top
U2,146.061997,-109.984999,270.0,bottom
